claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ANIF,82953,1,12252,255.798148,11.83,72.50,255.799306,58.93,8.00,10.4,10.3,1.50,Pv,-59.891000,-40.733000,x
ANIF,82962,1,12261,255.870255,13.17,70.50,255.871759,57.57,3.00,10.1,10.1,1.50,Pv,-60.190000,-40.694000,x
ANIF,83024,1,12323,256.505556,14.50,70.00,256.507639,50.59,4.00,11.7,11.5,1.50,Pv,-60.534000,-41.111000,x
ANIF,83062,1,12361,256.852315,9.17,57.50,256.853588,41.95,4.50,10.5,10.5,1.17,Pv,-61.254000,-41.564000,x
ANIF,83080,1,12379,256.986227,9.33,34.00,256.988542,25.96,5.00,NULL,10.9,1.33,Pv,-61.378000,-41.540000,x
ANIF,83091,1,12390,257.083912,11.17,55.50,257.085764,46.81,3.00,10.8,10.8,1.17,Pv,-61.450000,-41.575000,x
ANIF,83100,1,12399,257.160185,12.50,59.00,257.163426,52.29,6.50,11.2,11.1,1.50,Pv,-61.574000,-41.681000,x
ANIF,83107,1,12406,257.228241,14.00,61.50,257.229514,52.99,4.00,11.0,10.9,1.50,Pv,-61.598000,-41.722000,x
ANIF,83117,1,12416,257.327199,9.33,59.50,257.328704,49.85,5.00,10.8,10.8,1.00,Pv,-61.716000,-41.807000,x
ANIF,83126,1,12425,257.392361,9.33,60.50,257.395833,50.29,2.50,10.7,10.7,1.17,Pv,-61.792000,-41.883000,x
ANIF,83133,1,12432,257.453356,12.17,62.50,257.455556,45.90,3.00,10.5,10.8,1.33,Pv,-61.771000,-41.907000,x
ANIF,83141,1,12440,257.531250,11.17,49.00,257.532407,40.02,2.50,10.8,11.0,1.17,Pv,-61.875000,-42.034000,x
ANIF,83144,1,12443,257.557986,14.50,69.50,257.560301,53.26,8.50,10.7,11.1,1.67,Pv,-61.929000,-42.083000,x
ANIF,83154,1,12453,257.670949,14.50,71.50,257.672569,48.63,3.00,10.2,10.3,1.50,Pv,-61.950000,-42.210000,x
ANIF,83167,1,12466,257.813079,15.83,79.00,257.814699,58.72,11.50,9.7,9.7,1.50,Pv,-62.126000,-42.341000,x
ANIF,83169,1,12468,257.837037,15.83,80.50,257.841667,61.15,9.50,9.7,9.6,1.67,Pv,-62.220000,-42.352000,x
ANIF,83175,1,12474,257.905324,16.17,80.00,257.907639,63.42,3.00,9.5,9.4,1.50,Pv,-62.204000,-42.399000,x
ANIF,83180,1,12479,257.965162,15.17,77.50,257.966667,44.19,5.00,9.7,9.7,1.50,Pv,-62.310000,-42.457000,x
ANIF,83189,1,12488,258.068287,12.67,44.50,258.069676,39.26,2.50,10.1,10.0,1.33,Pv,-62.378000,-42.573000,x
ANIF,83190,1,12489,258.078009,14.33,50.50,258.079282,44.38,4.50,10.0,10.0,1.50,Pv,-62.395000,-42.577000,x
ANIF,83202,1,12501,258.218634,18.00,79.50,258.220486,61.33,5.50,9.5,9.4,1.83,Pv,-62.487000,-42.747000,x
ANIF,83223,1,12522,258.446759,12.33,81.00,258.452431,69.28,6.50,9.1,9.2,1.50,Pv,-62.714000,-43.036000,x
ANIF,83226,1,12525,258.474769,11.33,81.00,258.476273,58.63,7.50,9.2,9.4,1.33,Pv,-62.754000,-42.962000,x
ANIF,83247,1,12546,258.663773,11.33,80.00,258.665162,68.21,6.00,9.5,9.8,1.17,Pv,-63.182000,-42.979000,x
ANIF,83256,1,12555,258.737269,10.67,66.50,258.739120,49.72,12.00,9.5,9.8,1.17,Pv,-63.365000,-42.973000,x
ANIF,83267,1,12566,258.822454,10.00,78.50,258.824074,45.11,2.50,9.4,9.4,1.17,Pv,-63.535000,-42.925000,x
ALKU,92576,1,95,205.399433,28.33,87.56,205.400359,74.92,0.46,9.9,9.9,1.17,Pi,-63.273000,-43.849000,x
ALKU,92593,1,112,205.606377,16.00,88.92,205.616215,80.69,0.75,9.7,9.9,1.42,Pi,-63.103000,-43.978000,x
ALKU,92626,1,145,206.054120,22.25,98.60,206.058808,68.12,0.50,9.5,9.5,1.50,Pi,-62.735000,-44.120000,x
ALKU,92638,1,157,206.231898,6.67,100.54,206.234502,70.71,0.01,9.5,9.4,16.25,Pi,-62.736000,-44.269000,x
ALKU,92642,1,161,206.298912,24.67,104.78,206.304815,73.16,1.56,9.5,9.5,1.25,Pi,-62.814000,-44.318000,x
